delegate,voting_power
0x1bb76fa4d8075ba041da9e7b99dd319df1ee8243,15009.749745712154
0x627b01aa037b19483297fd69b219e790d3598249,14824.0
0x265c328bf0cad7f6fcddd375a4c02754963e3a2e,14536.013617796474
0xe6156d93fba1f2387fce5f50f1bb45ef51ed5f2b,14503.963497767354
0xeb40a065854bd90126a4e697aea0976ba51b2ee7,14296.637674885138
0xaf7fc773b91230d9f9e4d9ecbc32b67f011063cb,14095.226410868583
0xf75811d9dbd2fd16c3b9efc8c7490455ed2f6aa1,13843.63460078
0xa9541512829cafd85b284dfa8792921a35956d58,13646.321762937143
0xdc7aa225964267c7e0efb35f4931426209e90312,13000.654640649016
0x09da2d53c9d7e569e428b7f4a5c82c7cd855a7d4,12665.751196305888
0x5347714a92f418b5ce26348b793ebeb5f32d5cd9,12623.416835118041
0x4cf100cce352029e726185980e4611de835d6c7b,12244.772982851971
0xc4884736a39c8b0d1d88a23bb2cc15ee0886fec3,12134.457506432926
0x87feed6162cb7dfe6b62f64366742349bf4d1b05,11898.594895793407
0xd0c417aab37c6b3acf93da6036bfe29963c5b3d9,11839.42167622296
0xf70ef4fc0fecea687083f66ea835932bfde82282,11784.60171510128
0x633473e33a71c4737c426db9b07b61556e8b0045,11680.114019958683
0x7db6c77175ea8961b9d52925575422ed3e10d410,11613.996029476144
0xfb40932271fc9db9dbf048e80697e2da4aa57250,11597.269453936433
0xc540eb6c7b3e44ef8a45db3ad8618404baed88f6,11481.339579686764
0xc66fc4a1d8a3696cf402e1e483fe777f078b9027,11445.199999999999
0x1dd174bf2e090d0f1b1360ac8905780429b2642b,11409.366462902455
0xef228c1955efa79fb8f940196263427cc6ab6285,11325.79571380829
0xdf4be75f9c675ef83357b18d2dd8d0d69cb1e91c,11199.358380696514
0x34b9422884969b3eeba798723429697053271c8a,11156.735402135939
0xd39ea6043d1fa03f5be2beb2cfe65faa4ef0e595,11068.74936386566
0x75428842ebc4f94fdc4af18533265c4a57102d34,11001.95564695868
0xf33f8b6dde723ad36be008d958418cbef9362f79,10656.2186055
0x116c13191e03c6f33adf696c85a5b4ea13d5a647,10559.3219790466
0x8c57a2288bd9d1a4e02114195678d8eaa215a7a1,10517.215480736553
0xb77901819b46c06e4e20eb79587ff2f179cf8d5c,10506.397792914297
0xab8461a734a7a936f895bb056b596d6180b76b6b,10470.162613709304
0xefbc53e0afdc9f649bc1ab692461df57e70a560f,10448.699783980954
0xcb963bcb4a3f52748f83f6e4d6e7f1461e69fc63,10383.385680874379
0x33d66941465ac776c38096cb1bc496c673ae7390,10237.61998743559
0xdb0dc0347dd7f79b6b911b6ffd0e1e86bae3359a,10213.663814677413
0xcef28ce7884ae973990fb826c1986afaa9319b9a,10211.934668546504
0x0c5527b3abfbd0c297104b12be6f288d335b299c,10000.0
0x0408d2522d4a121f12bbf6967e8abf31112396eb,9978.934502341779
0x7482568a129eb8d524b5777ee6f65426cb5d6f61,9967.513855100842
0x26553884cee0bb96f4ecea4de3ed52d88d3f2efc,9966.585709017516
0x5cc68dca686990e38659cfdad720278b674ced5f,9962.11953368928
0xfd4f24676ed4588928213f37b126b53c07186f45,9958.30365646799
0x7aef53642e38b4d1d2adcc27fd7e23906a6703a8,9920.745670400358
0x80898b704baa55e7e37f1128fc6ae5836661f54a,9881.418101747922
0xa60f9584e7b1f4841b745792bb5f83f18c4f35dd,9860.76441806698
0xd101ee8ab789b5ac467cd0c5343ac596e074e7a9,9651.902231612785
0xb2e8ded76d2cd2f08480c94311a3c6b6c4e798ec,9612.082047221422
0x8d07d225a769b7af3a923481e1fdf49180e6a265,9610.800023349408
0x211a26a3fc01b01b217b76c391902e42e3e1ee91,9531.92985391333
0x8c72489065e15b9d4916fd97f861cbfa18862dc9,9311.365449970352
0xf71bcb7eb5715a239d412551b9cef0ea118f5c18,9303.794070130309
0xcee10da6b44b83b8f336faf006fe44612885b905,9210.427904334127
0xe58585b22cc2ac4270a2b92c2d2d8c5db5a3330e,9178.082559004702
0x89c8121115955831056958861c6800f0298b820a,9096.311136535996
0xaf0939af286a35dbfab7ded7c777a5f6e8be26a8,9001.443149686807
0x4bb12cc382e36b4b6faf7bdca7708969aed258ef,8995.83333077488
0x188b2d6ac1a8752ea4ef4adb582646f074096aee,8916.942657271791
0x6277c810555e583f6591df5396846bcefc41b84d,8852.826601041364
0xf762ea49cf3fa0ad5a28f3ce0d490dd3e27f959c,8815.849862355944
0x3ce8cfddb23173a54cb70927be2d3cfeeba74e04,8689.208305412021
0x0bd27fac898a59680b9dc92bb7378df610825e8d,8645.692577327081
0xaa31cb426e2c83cda9c850874d166d7fca836b14,8281.214476248437
0x9c1cdce0096d37506bc32c6cbab5dc2590932110,8236.83831703578
0x5a488b762ca0ea05321405b192fab0b66a93ca28,8053.5298869647795
0xd044a705a95be2dcada37707e7f26cc9420185e0,8016.571732895241
0x317ae3371f777adedaade238b832311807f5ca26,7965.257795430265
0xedd95782d13902ae535332b5d233041e47ad69e6,7889.999999999999
0x7a0f28264e889142311cb6a517ac5c2294c7d673,7793.438775855839
0xa3ef006a7da5bcd1144d8bb86eff1734f46a0c1e,7763.192606712746
0xe9945b3acbdc2f9dcad8871f01aa9dabbb20d882,7736.531583876341
0x2ea5e9e452f85f55be47504153f25740a5f3d78a,7719.371784597646
0x2479270315a74c353580cec39250a34e43f1bb25,7701.322313137715
0x91199826dbc27ae3033357d91b6fd3b7eb4d2149,7635.605439331994
0x274ddbcc68ea479d8b9d0bdf3159de04e42aee05,7629.291390640728
0x3e31155a1c17c9f85e74828447aec412090a4622,7549.650336902263
0x9b616ac1d31f17be9b23560d93699ca7732e2808,7488.674275264709
0xae623c8b158c3df75b4f0f3886ca36b49b72f3e9,7461.049804048234
0xdd65c5e9d1d4124a4730a9bad9ba5784f9b1d1ec,7452.092450698337
0x7e2d0d1c12cb1be7440386fd49d3cea6c744fdd6,7438.165635212781
0x4fdc6d45d4d3bbf57d4a541b9080b4e0fcb8a38d,7430.735749044966
0xc70abe97baf38782fa479b23311b611d0e82076b,7411.937779951594
0xca1694c2e3757b8eeb1ba5eec6dfb3f8d131310c,7361.84580717908
0x669950f1da362e4f7e5315f9680140aae1d0fc0b,7303.696279670011
